사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2020-09,2호선,34,서초,23,0,"1,133","4,365","6,336","17,919","11,392","41,106","18,018","105,902","17,590","71,683","13,972","28,206","15,150","17,708","16,234","15,993","18,692","18,743","23,430","16,023","27,931","15,421","32,750","14,941","57,321","16,363","87,218","17,292","35,839","11,594","22,629","7,723","22,083","6,535","12,420","5,097","3,682","2,760",2,0,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,35,방배,7,0,"2,332","3,540","8,219","12,417","19,232","25,222","25,096","60,202","19,595","38,805","13,682","17,449","13,446","14,709","15,380","15,592","17,580","16,998","18,517","16,150","20,747","16,912","25,272","18,109","35,588","24,009","57,141","31,171","24,821","22,845","16,759","13,878","16,191","13,027","12,373","10,065","3,874","5,805",0,2,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,36,사당,111,5,"12,050","3,421","22,365","25,053","62,573","37,081","82,925","55,537","59,145","39,814","34,340","31,340","30,248","32,030","35,525","33,365","36,079","35,401","36,919","36,925","37,932","45,441","42,212","58,003","54,502","82,623","76,593","120,810","50,309","87,473","43,432","50,563","43,740","47,139","33,345","36,450","14,542","22,129",13,"2,038",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,37,낙성대(강감찬),38,6,"10,921","1,807","22,735","8,229","67,642","16,215","103,605","32,482","65,920","26,968","32,832","19,866","26,818","17,845","29,154","20,733","29,966","21,935","27,351","24,676","28,162","28,955","30,962","33,653","36,971","49,470","41,616","84,480","25,134","72,455","18,431","45,209","17,441","42,165","12,993","34,713","5,039","18,575",8,"1,616",1,1,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,38,서울대입구(관악구청),"4,049",37,"27,789","2,269","37,984","11,932","108,073","25,446","155,956","54,074","99,201","50,016","51,646","38,509","44,581","35,782","47,289","38,116","49,646","43,486","47,838","46,093","50,314","52,083","56,065","61,535","63,052","84,852","74,316","146,145","46,378","120,958","37,917","71,304","37,260","68,631","28,890","52,357","11,317","30,698",1,"8,947",0,0,3,2,0,0,2020-10-03 09:02:33
2020-09,2호선,39,봉천,48,0,"14,831","1,443","25,669","6,204","70,839","11,709","103,362","22,321","61,387","17,586","30,773","15,840","24,588","16,675","25,636","18,215","25,948","19,720","23,405","22,655","23,370","29,967","24,264","32,446","25,981","45,961","28,679","76,367","17,180","62,744","13,057","39,129","12,216","36,548","8,756","26,664","2,884","15,270",3,224,0,1,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,40,신림,285,18,"37,085","4,193","69,910","18,619","181,052","28,780","263,726","52,706","154,891","45,090","78,847","36,470","63,594","37,227","66,611","42,660","64,254","49,704","60,524","56,608","58,527","71,556","65,087","84,057","68,631","123,280","72,218","217,233","50,026","183,785","41,141","115,204","38,751","112,614","29,088","82,627","11,999","52,912",3,92,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,41,신대방,137,5,"24,321","2,115","32,209","8,899","77,710","16,387","109,289","29,035","65,595","18,214","34,674","14,920","26,882","15,611","27,397","18,652","26,116","20,430","23,665","23,290","23,254","31,427","26,003","36,461","29,834","53,347","35,405","84,478","20,779","69,192","14,927","45,423","11,585","51,214","8,376","36,433","3,290","21,233",1,6,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,42,구로디지털단지,263,2,"37,073","6,175","47,868","22,027","119,614","73,382","155,247","215,653","95,667","125,317","51,831","47,117","44,927","37,742","48,991","38,030","50,702","43,167","47,466","44,561","50,938","53,776","61,323","60,625","106,301","90,173","186,860","140,888","92,761","112,027","52,798","67,886","43,779","71,124","28,904","51,972","10,008","29,719",1,40,0,2,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,43,대림(구로구청),632,21,"32,611","3,545","26,898","10,235","58,107","20,567","79,875","52,936","51,818","32,868","29,075","25,506","24,960","26,162","26,668","25,547","27,120","25,262","25,656","27,477","26,876","34,395","29,489","37,695","36,965","53,961","49,616","65,050","25,534","46,452","17,027","32,038","13,252","44,013","8,654","30,606","3,807","14,086",2,334,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,44,신도림,"3,576",12,"33,392","4,720","42,893","15,536","111,288","36,720","111,551","100,072","70,280","58,325","44,280","48,771","42,418","42,940","47,633","44,985","50,154","47,283","49,633","49,507","52,970","55,309","58,226","62,053","77,774","83,751","110,715","134,891","64,342","101,427","50,568","59,448","47,748","55,018","27,433","42,839","10,996","28,957",19,"7,775",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,45,문래,16,0,"3,009","1,678","10,892","9,143","35,474","29,071","36,411","106,655","20,827","49,392","14,374","17,136","13,954","14,763","15,536","15,740","16,627","16,507","17,735","17,297","19,903","17,341","24,776","18,700","43,811","25,775","88,750","43,227","30,745","31,491","20,331","16,345","19,342","14,556","12,610","11,261","4,638","6,168",0,145,0,0,1,1,0,0,2020-10-03 09:02:33
2020-09,2호선,46,영등포구청,48,2,"5,000","2,673","10,957","11,368","33,992","31,881","38,167","109,447","23,561","48,864","17,644","22,702","18,388","18,300","19,597","19,210","20,190","21,016","22,214","19,849","24,691","20,564","30,057","21,587","45,606","28,005","91,905","43,686","33,493","30,652","22,236","16,793","20,332","15,962","12,510","12,099","4,333","7,853",2,193,0,0,0,1,0,0,2020-10-03 09:02:33
2020-09,2호선,47,당산,99,6,"6,021","3,073","14,391","11,892","38,497","26,004","45,528","69,749","26,691","32,470","17,076","16,300","15,687","14,353","16,777","15,775","17,468","17,668","17,056","17,580","18,078","19,787","21,117","23,967","33,237","36,260","55,158","60,471","25,834","41,188","18,021","25,662","17,979","23,783","12,512","17,216","5,018","11,328",3,175,1,2,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,48,합정,47,2,"6,547","2,947","14,878","13,552","36,989","29,433","45,896","80,558","29,771","60,862","19,964","33,081","20,170","29,642","23,242","32,900","26,390","35,682","27,990","36,207","30,679","35,387","36,964","38,850","52,985","53,630","89,282","78,432","57,961","55,185","44,727","28,655","47,428","24,335","35,698","17,859","14,491","12,207",4,389,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,49,홍대입구,462,5,"12,454","3,511","19,130","13,288","50,156","27,436","60,030","80,229","39,289","85,427","27,787","52,760","30,761","52,602","37,688","64,507","43,624","74,152","46,739","74,031","54,655","76,515","67,855","79,795","90,430","95,012","116,984","130,160","88,729","91,671","84,044","47,742","94,386","37,372","76,432","27,354","29,005","19,921",189,"3,055",0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,50,신촌,50,1,"4,965","2,571","10,655","12,927","26,382","27,030","36,314","62,135","26,090","68,524","24,527","40,849","27,318","36,318","32,432","39,192","33,503","45,136","37,292","41,515","42,137","39,225","49,607","39,242","64,909","51,964","68,639","74,629","48,515","50,965","50,056","26,663","45,013","22,710","39,260","16,291","14,322","11,356",2,21,0,0,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,51,이대,49,1,"2,352","1,652","5,738","10,976","15,799","9,543","19,303","26,449","12,101","21,138","9,490","16,000","9,730","13,608","12,214","14,259","13,747","16,124","13,733","15,021","16,079","14,379","21,128","14,538","28,984","17,470","26,565","24,918","16,512","18,526","13,228","10,720","12,301","10,647","9,574","8,109","2,961","5,951",1,9,1,2,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,52,아현,28,3,"4,469","1,218","9,000","6,497","23,061","9,617","28,946","20,098","16,652","9,944","11,839","7,797","10,852","7,913","11,244","8,686","11,766","9,813","12,116","10,117","14,734","11,320","15,661","12,998","15,936","17,611","16,393","25,939","9,793","20,806","6,639","12,327","5,154","11,762","3,189","8,762","1,278","5,478",1,4,5,5,0,0,0,0,2020-10-03 09:02:33
2020-09,2호선,53,충정로(경기대입구),23,2,"3,076",873,"5,477","5,121","13,067","18,225","17,725","52,877","11,333","23,916","8,645","10,679","9,311","8,012","8,741","7,470","9,594","8,854","10,020","8,179","11,325","8,692","12,719","9,732","21,185","12,249","42,478","17,369","14,210","12,746","8,319","7,806","7,303","7,820","4,507","5,992","1,402","3,504",0,89,0,0,0,0,0,0,2020-10-03 09:02:33
